time,joint_positions,joint_velocities,end_effector_position,velocity_magnitude
60.787,"[-0.11014480697988205, 0.09424149707923668, 0.11114353470308558]","[-0.0005790877594034038, 0.0011863466503476343, 0.0008594862780935302]","[0.1570720325110703, -0.01417639620079264, 1.1850184965194948]",0.0015039352089831163
61.772,"[-0.11055791893364741, 0.09510582093712916, 0.11176812017840998]","[-0.0005468202464326827, 0.0011747516478729486, 0.0008466100584614456]","[0.1572117101133156, -0.013937922504515837, 1.1841117468261713]",0.003012063939256384
62.788,"[-0.10379652169391829, 0.10881136340884545, 0.13357929466326102]","[0.00961417408534875, 0.01832209638311473, 0.02953103791188228]","[0.15787949736472043, -0.013552741345983289, 1.182456918138798]",0.004840551804064294
63.639,"[-0.09199444446002403, 0.13017151877424382, 0.1684643392287013]","[0.020078292866956143, 0.03538067746960112, 0.05811814690600116]","[0.15986324094993085, -0.012588846825762086, 1.1779045887809525]",0.0071628212357475254
64.57,"[-0.059848999878562736, 0.18389040475307095, 0.2573357651617991]","[0.03212466458552024, 0.05191914703766854, 0.08625820009324997]","[0.1620073339706065, -0.011557874136020503, 1.1727742080504582]",0.011185248351911755
65.344,"[-0.033309035843394064, 0.22493434917018806, 0.3259329091213248]","[0.04503908146548706, 0.06819613787879497, 0.11428356451681283]","[0.16651512338753074, -0.00928911968137697, 1.1615753988349649]",0.015645180029508536
66.157,"[0.02140369161748712, 0.3020764114525809, 0.45652776917736837]","[0.061073091074032346, 0.08314516488801195, 0.14160136391808772]","[0.1710346044913191, -0.0068207564215893406, 1.1500426918836884]",0.023105044490373906
66.877,"[0.06570315177168595, 0.3589575107902885, 0.5544622388400189]","[0.07764217089898506, 0.09761652442101587, 0.1689886323997093]","[0.1763366142395363, -0.0036992311986843154, 1.1364807517955595]",0.031108661793387882
67.57,"[0.11627544395164069, 0.4200151189049839, 0.6615581015664294]","[0.09459829528955142, 0.11095064872177686, 0.19691338417041934]","[0.18505174311209194, 0.0018897614295604074, 1.1144974675050134]",0.041377103113077296
68.348,"[0.19432758658679372, 0.5092224710107258, 0.8228708436837557]","[0.11025144795566905, 0.12326294138302794, 0.22646072782840987]","[0.19204047510959793, 0.007064338440105147, 1.0958143274243928]",0.058306305208719655
69.019,"[0.24352738038962318, 0.5639474162097295, 0.9243190209356129]","[0.1209010173332427, 0.1350180996114797, 0.25827139856879916]","[0.2031013063841498, 0.0158184375774041, 1.0666968389277058]",0.06716784763002459
69.57,"[0.3114570820628346, 0.6392707947242338, 1.0692927987661935]","[0.12171419317635168, 0.1339922335291235, 0.259616381860584]","[0.2333126381558177, 0.03725692954908514, 0.9972709526678745]",0.07103494205055681
70.362,"[0.4057043084132932, 0.77374486312541, 1.370420926298201]","[0.06849114844320191, 0.12023896956648937, 0.2923527400794501]","[0.26239139787231763, 0.057429438273488814, 0.9239651713371024]",0.07662450619982007
71.234,"[0.45161943868004695, 0.873926474791002, 1.6301519587621476]","[0.03851999945517674, 0.10185561668981369, 0.2769333527422069]","[0.2829539377051859, 0.07130393090161036, 0.8628383298901094]",0.07862706767680615
71.851,"[0.46936203930632026, 0.9336284971973923, 1.804891536287581]","[0.016084765330732304, 0.08007318355385734, 0.2538943690632554]","[0.3086750473198784, 0.08536697806686083, 0.7785418574480155]",0.07765852909463662
72.681,"[0.47319340107763086, 0.9918761937525824, 2.0264001018295374]","[-0.0003404327327184076, 0.05508069922279118, 0.22954095533159227]","[0.3286345876865721, 0.09307396852148539, 0.6978690810812641]",0.07630081621885534
73.552,"[0.46313690468808577, 1.022303689938294, 2.218047091327257]","[-0.013137014421411963, 0.028240100050141142, 0.2043296488721044]","[0.339899307008656, 0.09515721781468728, 0.638779029798865]",0.0736500653508577
74.24,"[0.448437907370951, 1.0255546574667287, 2.354981498309918]","[-0.02132258614352814, -0.0008644315362887932, 0.17899116185725322]","[0.34944211992942004, 0.09301598131295039, 0.5594200719967914]",0.07009139938923961
75.334,"[0.42449492811094114, 0.9987715517937383, 2.498433869009544]","[-0.026484250242838073, -0.031250890808719185, 0.15417185148058352]","[0.35087493078894805, 0.08494759942917215, 0.48847886332157947]",0.06433632709099471
76.257,"[0.39195048715326397, 0.9389029994587164, 2.6100048017902377]","[-0.03184988864132136, -0.05792776429244985, 3.704389043319989e-05]","[0.3568712068804062, 0.07957647497236091, 0.46998495446113886]",0.05690840099514057
77.136,"[0.3641319393553184, 0.8666012602449635, 2.6100029327548064]","[-0.03355405662230921, -0.08755827912604916, 3.852220064051726e-05]","[0.36226673022620703, 0.07301539663079012, 0.4425165919738107]",0.05160813078369277
78.085,"[0.3302444199180874, 0.7505673102627517, 2.610003532921361]","[-0.03212837454638383, -0.11523622318769608, -0.0016645436888922255]","[0.36425056080502205, 0.06619495531254913, 0.41251640373480786]",0.04589124337242952
78.982,"[0.30153217504765006, 0.6278094507258514, 2.610044965528182]","[-0.03692741726829153, -0.14298091222371812, 0.00791785552560606]","[0.362170949508342, 0.05914717212564608, 0.38130263100316747]",0.0396955171925184
79.781,"[0.2758858449120547, 0.4951634143686343, 2.60984969703442]","[-0.013385172438768245, -0.17577033921605054, -0.07283475106292]","[0.35760198804795534, 0.0530076408367207, 0.35393774534994177]",0.031482558143196344
80.54,"[0.2557144476659845, 0.36866619830089586, 2.605323054792258]","[-0.030712225126396615, -0.1853395891372421, -0.007400299606038385]","[0.3517396055501609, 0.04373900474607125, 0.3120469336234838]",0.02314091042179338
81.437,"[0.22838336566767392, 0.1703664421551272, 2.568427705548217]","[-0.02905619317201424, -0.19815340061876996, -0.040612324423443064]","[0.35707082168814985, 0.03930549109384758, 0.28372801794236374]",0.02268293018916044
82.602,"[0.2044429621472572, -0.036850525421150415, 2.4905935206644934]","[-0.024928405989251876, -0.1943114646799844, -0.0755529777647652]","[0.3680013897877119, 0.03801498780756325, 0.26680318982697593]",0.02603756389132741
83.248,"[0.19196886370485178, -0.15819043824779033, 2.423598956796482]","[-0.017080016124114413, -0.15861174216868093, -0.09282666278828582]","[0.38067729436523134, 0.0388106953460368, 0.2593531994998696]",0.029729683816356108
84.03,"[0.18465670943597434, -0.2434739289701371, 2.3578842062157523]","[-0.01114250083461073, -0.11847624649729933, -0.09382620612017264]","[0.40126654371945647, 0.04126750467482476, 0.25472208178327177]",0.034459423540650215
84.756,"[0.1807575167031379, -0.30466403484763216, 2.2907177555577345]","[-0.00543914693718897, -0.07848063982635804, -0.09005834410538983]","[0.42043221068228864, 0.044802467383123365, 0.2576203590966478]",0.040689253356158535
85.503,"[0.18100248031165744, -0.3350130716454425, 2.231324686130268]","[0.0005548243093123125, -0.03901474210501875, -0.0837678722562362]","[0.4441137888442681, 0.05056673677913246, 0.2687132167757071]",0.048997103750336675
86.224,"[0.18580931536390555, -0.3395066600119252, 2.1709895526167244]","[0.006828283401168883, -1.3560916705198823e-05, -0.0756958174250719]","[0.46784121533392387, 0.05828450329280144, 0.28942843661332257]",0.059175975548189416
86.837,"[0.1943756526632967, -0.31638487789786485, 2.125695479249213]","[0.013654634249359287, 0.038581807852587684, -0.06735140228514476]","[0.48734030037491427, 0.0668370464868152, 0.31616909599652393]",0.06999999999999997
87.667,"[0.21090668402479995, -0.2584654824950139, 2.0744254651758265]","[0.020767468158526845, 0.07219835475538963, -0.06169744887423598]","[0.5200438951151414, 0.08602434557705246, 0.3809731922257096]",0.07015171602914251
